,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,distance,distance_km,ev_network_ids,federal_agency
0,private,Contact station for hours of availability,,,2023-06-12,,ELEC,Private,262217,LD,2023-03-22,P,,E,OTHER,Duggal Visual Solutions,,2024-01-31T22:07:01Z,GPS,40.6986246,-73.9786207,Brooklyn,US,,,NY,63 Flushing Ave,11205,,,,,,,,,,,,['J1772'],,,1.0,AMPUP,https://ampup.io/,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,1.73138,2.78639,,
1,public,,,,2022-10-06,,ELEC,Public,114970,,2017-03-09,P,,E,PAY_GARAGE,Little Man Parking (Queens West) - Tesla Destination,718-606-1760  877-798-3752,2023-01-18T15:15:20Z,200-8,40.745627,-73.955638,Long Island City,US,,,NY,4-76 47th Ave,11109,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.48093,5.60201,{'station': ['503452']},
2,public,,,,2022-10-06,,ELEC,Public,115166,,2018-05-24,P,,E,PAY_GARAGE,iPark 59-63 Allen Street - Tesla Destination,212-226-1793  877-798-3752,2023-01-18T15:15:20Z,200-9,40.717143,-73.991597,New York,US,,,NY,59-63 Allen St,10002,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,0.81104,1.30524,{'station': ['511149']},
3,public,,,,2022-10-06,,ELEC,Public,122473,,2017-06-13,P,,E,,iPark 34 N 7th Street 2 - Tesla Destination,718-782-1494  877-798-3752,2023-01-18T15:15:20Z,200-9,40.720708,-73.96231,Brooklyn,US,,,NY,34 N 7th St,11249,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.34197,3.76904,{'station': ['506790']},
4,public,24 hours daily,,,2021-09-10,,ELEC,Public,194700,LD,2021-08-29,SG,False,E,PARKING_LOT,Revel Brooklyn Superhub,949-945-2000,2024-04-01T20:04:27Z,GPS,40.69933379421704,-73.94966479629517,Brooklyn,US,,,NY,467 Marcy Ave,11206,,,,,,,,,,,,['J1772COMBO'],50.0,,,EVGATEWAY,http://evgateway.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.07841,4.95422,,
5,public,24 hours daily,,A CREDIT D M V,2024-01-09,,ELEC,Public,223269,LD,2022-03-18,P,False,E,PAY_GARAGE,333 E 75th St.,844-623-1001,2024-01-31T22:07:01Z,GPS,40.7702,-73.95525,New York,US,,,NY,333 E 75th St,10021,,,,,,,,,,,,['J1772'],,,4.0,LIVINGSTON,https://www.solution.energy,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.79326,7.714,,
6,public,,,,2022-10-06,,ELEC,Public,115092,,2018-01-08,P,,E,PAY_GARAGE,Icon Parking 322 23rd Street - Tesla Destination,212-674-2918  877-798-3752,2023-01-18T15:15:20Z,200-8,40.737533,-73.980437,New York,US,,,NY,318-322 E 23rd St,10010,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.18,3.50837,{'station': ['509453']},
7,public,24 hours daily,CREDIT_CARD_ALWAYS,A CREDIT D M V,2024-01-09,,ELEC,Public - Credit card at all times,252709,LD,2022-12-06,P,False,E,MULTI_UNIT_DWELLING,182 E 73rd St,844-623-1001,2024-01-31T22:07:01Z,GPS,40.77049,-73.96077,New York,US,,,NY,182 E 73rd St,10021,,,,,,,,,,,,['J1772'],,,4.0,LIVINGSTON,https://www.solution.energy,,,,False,,,,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,4.65853,7.49718,,
8,private,8am-6pm Monday-Friday,,,2022-03-07,,ELEC,Private,153867,LD,2019-12-16,P,,E,HOSPITAL,Weill Cornell Medical,,2024-02-20T20:10:26Z,200-8,40.765313,-73.955553,New York,US,,,NY,420 E 70th St,10021,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,True,,,,,,,,,,,,,,,,,,,,,Privé,,4.50422,7.24884,,
9,private,8am-6pm Monday-Friday,,,2022-03-07,,ELEC,Private,153866,LD,2019-12-16,P,,E,HOSPITAL,Weill Cornell Medical,,2024-02-20T20:10:18Z,200-9,40.765378,-73.955054,New York,US,,,NY,1305 York Ave,10065,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,True,,,,,,,,,,,,,,,,,,,,,Privé,,4.52308,7.27919,,
